
System Configuration                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe                   
System Information                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe                   
Task Manager                                     Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}        
Task Scheduler                                   Microsoft.AutoGenerated.{C1C6F8AC-40A3-0F5C-146F-65A9DC70BBB4}        
TeamViewer                                       {6D809377-6AF0-444B-8957-A3773F02200E}\TeamViewer\TeamViewer.exe      
Terminal                                         Microsoft.WindowsTerminal_8wekyb3d8bbwe!App                           
Uninstall Node.js                                Microsoft.AutoGenerated.{1D719D94-D041-5E2F-1BF6-98EEDE508FBF}        
Uninstall XAMPP                                  C:\xampp\uninstall.exe                                                
Viber                                            C:\Users\DICT-10-pc0\AppData\Local\Viber\Viber.exe                    
Viber(Compatibility Mode)                        Microsoft.AutoGenerated.{5D60125E-059E-2B76-2DE3-5C0C258EF62A}        
Visual Studio Code                               Microsoft.VisualStudioCode                                            
Voice access                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\voiceaccess.exe                
Weather                                          Microsoft.BingWeather_8wekyb3d8bbwe!App                               
What is new in the latest version                {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WhatsNew.txt            
Windows Backup                                   MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WindowsBackup               
Windows Defender Firewall with Advanced Security {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc                         
Windows Media Player Legacy                      Microsoft.Windows.MediaPlayer32                                       
Windows Memory Diagnostic                        {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe                    
Windows PowerShell                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\power...
Windows PowerShell (x86)                         {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\power...
Windows PowerShell ISE                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\Power...
Windows PowerShell ISE (x86)                     {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\Power...
Windows Security                                 Microsoft.SecHealthUI_8wekyb3d8bbwe!SecHealthUI                       
Windows Tools                                    Microsoft.Windows.AdministrativeTools                                 
WinRAR                                           {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.exe              
WinRAR help                                      {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.chm              
XAMPP Control Panel                              C:\xampp\xampp-control.exe                                            
XAMPP htdocs folder                              C:\xampp\htdocs                                                       
Xbox                                             Microsoft.GamingApp_8wekyb3d8bbwe!Microsoft.Xbox.App                  


